lcl|CP009978.1_prot_ALR18933.1_1	FIG|691.12.PEG.1753	47.040	84	372	371	321	303	4.96e-102
lcl|CP009978.1_prot_ALR17303.1_2	FIG|691.12.PEG.2886	100.000	100	404	440	404	838	0.0
lcl|CP009978.1_prot_ALR17304.1_3	FIG|691.12.PEG.2887	100.000	100	177	177	177	358	1.17e-129
lcl|CP009978.1_prot_ALR17305.1_4	FIG|691.12.PEG.2888	100.000	99	731	726	726	1486	0.0
lcl|CP009978.1_prot_ALR17306.1_5	FIG|691.12.PEG.2889	100.000	70	272	191	191	400	1.56e-144
lcl|CP009978.1_prot_ALR17307.1_6	FIG|691.12.PEG.2890	100.000	100	348	348	348	726	0.0
lcl|CP009978.1_prot_ALR17308.1_7	FIG|691.12.PEG.2891	100.000	100	412	412	412	830	0.0
lcl|CP009978.1_prot_ALR17309.1_8	FIG|691.12.PEG.2892	100.000	100	277	277	277	573	0.0
lcl|CP009978.1_prot_ALR17310.1_9	FIG|691.12.PEG.2893	100.000	100	343	343	343	717	0.0
lcl|CP009978.1_prot_ALR17311.1_10	FIG|691.12.PEG.2894	100.000	100	435	435	435	865	0.0
lcl|CP009978.1_prot_ALR17312.1_11	FIG|691.12.PEG.3358	37.500	25	129	281	32	25.8	1.2
lcl|CP009978.1_prot_ALR17313.1_12	FIG|691.12.PEG.2895	100.000	100	108	108	108	217	4.18e-76
lcl|CP009978.1_prot_ALR17314.1_13	FIG|691.12.PEG.2896	100.000	100	199	199	199	412	2.94e-150
lcl|CP009978.1_prot_ALR17315.1_14	FIG|691.12.PEG.2897	100.000	100	344	344	344	711	0.0
lcl|CP009978.1_prot_ALR17316.1_15	FIG|691.12.PEG.2898	100.000	100	205	205	205	420	3.09e-153
lcl|CP009978.1_prot_ALR17317.1_16	FIG|691.12.PEG.2900	100.000	100	291	291	291	597	0.0
lcl|CP009978.1_prot_ALR18824.1_17	FIG|691.12.PEG.2901	100.000	100	216	229	216	451	3.27e-165
lcl|CP009978.1_prot_ALR17318.1_18	FIG|691.12.PEG.2902	100.000	100	150	150	150	312	2.08e-112
lcl|CP009978.1_prot_ALR17319.1_19	FIG|691.12.PEG.2903	100.000	100	116	116	116	239	1.29e-84
lcl|CP009978.1_prot_ALR17320.1_20	FIG|691.12.PEG.2904	100.000	100	438	438	438	911	0.0
